p,q,gap_len,w,tau_w,frac_pos,budget,packet
580673,580687,14,580677,4,0.2857142857142857,1061.7564810936822,d4_semiprime
580757,580759,2,580758,16,0.5,92.90462598079844,d8_plus
580843,580859,16,580857,4,0.875,1021.9631136616015,d4_semiprime
580919,580927,8,580921,6,0.25,716.7080380074611,d6
581047,581069,22,581051,4,0.18181818181818182,1805.0742212382718,d4_semiprime
581149,581171,22,581161,4,0.5454545454545454,1964.3713043010916,d4_semiprime
581237,581239,2,581238,36,0.5,225.63956503865805,d8_plus
581333,581341,8,581338,4,0.625,637.1080854567231,d4_semiprime
581411,581429,18,581413,4,0.1111111111111111,1393.6889996320376,d4_semiprime
581527,581549,22,581531,4,0.18181818181818182,1791.9129595080972,d4_semiprime
581617,581639,22,581619,4,0.09090909090909091,1791.9339402191897,d4_semiprime
581729,581731,2,581730,16,0.5,92.91633191081341,d8_plus
581821,581843,22,581827,4,0.2727272727272727,1712.3378934366417,d4_semiprime
581921,581941,20,581923,4,0.1,1592.893249631023,d4_semiprime
582017,582031,14,582019,4,0.14285714285714285,942.4731949091948,d4_semiprime
582157,582161,4,582158,8,0.25,331.8624996158346,d8_plus
582221,582223,2,582222,16,0.5,92.92224968097081,d8_plus
582371,582391,20,582377,4,0.3,1685.9099544024186,d4_semiprime
582469,582499,30,582473,4,0.13333333333333333,2801.037194422022,d4_semiprime
582601,582623,22,582609,4,0.36363636363636365,1526.6567439119756,d4_semiprime
582721,582727,6,582723,6,0.3333333333333333,491.1923936765566,d6
582781,582793,12,582789,4,0.6666666666666666,809.8102410440437,d4_semiprime
582899,582931,32,582907,4,0.25,3305.673201179394,d4_semiprime
582983,583007,24,582989,4,0.25,1925.0104344745682,d4_semiprime
583127,583139,12,583131,4,0.3333333333333333,1115.1979368592467,d4_semiprime
583207,583213,6,583211,4,0.6666666666666666,544.3284582978222,d4_semiprime
583291,583301,10,583293,4,0.2,1022.2867622555349,d4_semiprime
583403,583409,6,583405,4,0.3333333333333333,464.6823620158604,d4_semiprime
583493,583501,8,583499,4,0.75,597.4558250705852,d4_semiprime
583603,583613,10,583607,4,0.4,716.9570491669695,d4_semiprime
583669,583673,4,583670,8,0.25,172.60220570970776,d8_plus
583783,583789,6,583787,4,0.6666666666666666,385.04140293262276,d4_semiprime
583879,583903,24,583883,4,0.16666666666666666,1925.2329019639276,d4_semiprime
584011,584027,16,584013,4,0.125,1168.436631126639,d4_semiprime
584141,584153,12,584143,4,0.16666666666666666,650.6174480944958,d4_semiprime
584281,584303,22,584282,4,0.045454545454545456,1673.0476715266714,d4_semiprime
584393,584399,6,584396,6,0.5,318.6800016292383,d6
584509,584531,22,584513,4,0.18181818181818182,1513.754408967842,d4_semiprime
584609,584621,12,584615,4,0.5,810.0011711826677,d4_semiprime
584707,584713,6,584711,4,0.6666666666666666,411.6450403653318,d4_semiprime
584791,584809,18,584795,4,0.2222222222222222,1606.7622289314695,d4_semiprime
