gap_divisor_count,count,share,min_gap,max_gap,mean_gap
549,1,1.2298610257040954e-05,34,34,34
550,39,0.0004796458000245972,14,46,36.56410256410256
551,2,2.4597220514081907e-05,34,36,35
552,31,0.0003812569179682696,12,42,35.29032258064516
553,1,1.2298610257040954e-05,38,38,38
554,27,0.0003320624769401058,16,50,36.370370370370374
556,36,0.00044274996925347434,12,42,36.22222222222222
558,27,0.0003320624769401058,34,42,38.370370370370374
559,2,2.4597220514081907e-05,42,46,44
560,29,0.00035665969745418767,12,48,37.51724137931034
561,1,1.2298610257040954e-05,36,36,36
562,32,0.0003935555282253105,20,42,37.8125
563,1,1.2298610257040954e-05,36,36,36
564,36,0.00044274996925347434,12,42,35.111111111111114
566,23,0.00028286803591194196,24,48,39.04347826086956
568,31,0.0003812569179682696,14,44,37.54838709677419
569,1,1.2298610257040954e-05,40,40,40
570,42,0.00051654163079572,20,44,37.61904761904762
572,22,0.000270569425654901,12,46,38.90909090909091
573,1,1.2298610257040954e-05,40,40,40
574,31,0.0003812569179682696,18,46,36.774193548387096
575,2,2.4597220514081907e-05,36,38,37
576,24,0.00029516664616898293,2,48,38.083333333333336
577,2,2.4597220514081907e-05,40,42,41
578,19,0.00023367359488377814,18,48,39.89473684210526
580,28,0.0003443610871971467,12,46,36.785714285714285
581,1,1.2298610257040954e-05,38,38,38
582,26,0.0003197638666830648,28,46,39.46153846153846
583,1,1.2298610257040954e-05,40,40,40
584,19,0.00023367359488377814,8,46,36.10526315789474
585,1,1.2298610257040954e-05,36,36,36
586,21,0.00025827081539786,18,46,38.19047619047619
588,23,0.00028286803591194196,32,44,39.73913043478261
589,1,1.2298610257040954e-05,36,36,36
590,16,0.00019677776411265526,20,52,39.625
591,1,1.2298610257040954e-05,38,38,38
592,21,0.00025827081539786,16,44,37.904761904761905
594,22,0.000270569425654901,22,46,37.36363636363637
595,1,1.2298610257040954e-05,40,40,40
596,18,0.00022137498462673717,8,48,37.77777777777778
597,4,4.9194441028163815e-05,38,46,42.5
598,28,0.0003443610871971467,14,52,40.642857142857146
600,23,0.00028286803591194196,14,50,38
601,1,1.2298610257040954e-05,42,42,42
602,29,0.00035665969745418767,16,48,41.10344827586207
604,28,0.0003443610871971467,14,52,39
606,28,0.0003443610871971467,20,48,40.357142857142854
608,18,0.00022137498462673717,32,48,42.55555555555556
609,2,2.4597220514081907e-05,36,46,41
610,19,0.00023367359488377814,24,44,38.10526315789474
611,1,1.2298610257040954e-05,44,44,44
